id,zip,score,process,address,restaurant,inspection-date,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
11199343,78759,91,"Routine Inspection","10225 RESEARCH BLVD NB AUSTIN, TX 78759 ","Nothing Bundt Cakes",2015-12-27T00:00:00Z,30.397491,-97.745752,1,range_interpolation,10225,"Research Blvd",Austin,TX,"Travis County",78759,US
11199440,78758,96,"Routine Inspection","2011 W RUNDBERG LN AUSTIN, TX 78758 ","Jaime D. Padron Elementary",2015-12-27T00:00:00Z,30.373208,-97.718592,1,range_interpolation,2011,"W Rundberg Ln",Austin,TX,"Travis County",78758,US
11199570,78736,96,"Routine Inspection","7101 W SH 71 AUSTIN, TX 78736 ","Big Lots # 1822",2014-12-28T00:00:00Z,30.272424,-97.973888,0.22,place,,,Austin,TX,"Travis County",78736,US
11199927,78745,73,"Routine Inspection","4534 WEST GATE BLVD Unit 105 AUSTIN, TX 78745 ","Sichuan River Restaurant",2015-12-27T00:00:00Z,30.229055,-97.801493,1,range_interpolation,4534,"W Gate Blvd",Austin,TX,"Travis County",78745,US
11199943,78722,96,"Routine Inspection","2204 AIRPORT BLVD AUSTIN, TX 78722 ","Airport Quickstop",2015-12-27T00:00:00Z,30.2852,-97.705874,1,range_interpolation,2204,"Airport Blvd",Austin,TX,"Travis County",78722,US
11200039,78741,93,"Routine Inspection","2237 E RIVERSIDE DR Unit 108 AUSTIN, TX 78741 ","Austin Club Carnaval",2015-12-27T00:00:00Z,30.239767,-97.72694,1,range_interpolation,2237,"E Riverside Dr",Austin,TX,"Travis County",78741,US
11201901,78757,97,"Routine Inspection","1725 OHLEN RD AUSTIN, TX 78757 ","El Pollo Regio",2014-12-28T00:00:00Z,30.362797,-97.718409,1,range_interpolation,1725,"Ohlen Rd",Austin,TX,"Travis County",78757,US
11201930,78753,90,"Routine Inspection","10503 N LAMAR BLVD AUSTIN, TX 78753 ","La Frontera Bar",2015-12-27T00:00:00Z,30.373466,-97.691009,1,range_interpolation,10503,"N Lamar Blvd",Austin,TX,"Travis County",78753,US
11202021,78702,100,"Routine Inspection","916 SPRINGDALE RD Bunit 101 AUSTIN, TX 78702 ",Sa-Ten,2014-12-28T00:00:00Z,30.261745,-97.698192,1,range_interpolation,916,"Springdale Rd",Austin,TX,"Travis County",78702,US
11202551,78702,100,"Routine Inspection","2600 E CESAR CHAVEZ ST AUSTIN, TX 78702 ","fitppl, LLC",2015-12-27T00:00:00Z,30.254066,-97.71541,1,range_interpolation,2600,"E Cesar Chavez St",Austin,TX,"Travis County",78702,US
11202714,78756,97,"Routine Inspection","2320 HANCOCK DR AUSTIN, TX 78756 ","Republic of Sandwich",2014-12-28T00:00:00Z,30.324455,-97.7427,1,range_interpolation,2320,"Hancock Dr",Austin,TX,"Travis County",78756,US
11202843,78702,97,"Routine Inspection","2600 E CESAR CHAVEZ ST AUSTIN, TX 78702 ","Fig Leaf Catering",2014-12-28T00:00:00Z,30.254066,-97.71541,1,range_interpolation,2600,"E Cesar Chavez St",Austin,TX,"Travis County",78702,US
11202909,78705,93,"Routine Inspection","2901 MEDICAL ARTS ST Unit 400 AUSTIN, TX 78705 ","RC Mart",2015-12-27T00:00:00Z,30.288958,-97.728568,1,range_interpolation,2901,"Medical Arts St",Austin,TX,"Travis County",78705,US
11202921,78756,100,"Routine Inspection","5011 BURNET RD Unit 150 AUSTIN, TX 78756 ","416 Bar & Grille",2014-12-28T00:00:00Z,30.321806,-97.73916,1,range_interpolation,5011,"Burnet Rd",Austin,TX,"Travis County",78756,US
11202972,78748,93,"Routine Inspection","9901 BRODIE LN Unit 110 AUSTIN, TX 78748 ","Juiceland Shady Hollow, LLC",2014-12-28T00:00:00Z,30.184591,-97.848677,1,range_interpolation,9901,"Brodie Ln",Austin,TX,"Travis County",78748,US
11203800,78717,71,"Routine Inspection","9225 W PARMER LN Bunit 108 AUSTIN, TX 78717 ",Suprabhat,2014-12-28T00:00:00Z,30.477938,-97.765681,1,range_interpolation,9225,"W Parmer Ln",Austin,TX,"Williamson County",78717,US
11203878,78751,100,"Routine Inspection","101 W KOENIG LN Unit 200 AUSTIN, TX 78751 ","Fluff-Meringues & More",2014-12-28T00:00:00Z,30.322572,-97.719557,1,range_interpolation,101,"W Koenig Ln",Austin,TX,"Travis County",78751,US
